"Index Name","Date","Open","High","Low","Close"
"NIFTY CHEMICALS","13 May 2013","-","-","-","2598.05"
"NIFTY CHEMICALS","11 May 2013","-","-","-","2614.13"
"NIFTY CHEMICALS","10 May 2013","-","-","-","2607.21"
"NIFTY CHEMICALS","09 May 2013","-","-","-","2578.13"
"NIFTY CHEMICALS","08 May 2013","-","-","-","2572.47"
"NIFTY CHEMICALS","07 May 2013","-","-","-","2558.10"
"NIFTY CHEMICALS","06 May 2013","-","-","-","2530.37"
"NIFTY CHEMICALS","03 May 2013","-","-","-","2491.69"
"NIFTY CHEMICALS","02 May 2013","-","-","-","2515.10"
"NIFTY CHEMICALS","30 Apr 2013","-","-","-","2500.62"
"NIFTY CHEMICALS","29 Apr 2013","-","-","-","2495.81"
"NIFTY CHEMICALS","26 Apr 2013","-","-","-","2489.31"
"NIFTY CHEMICALS","25 Apr 2013","-","-","-","2516.10"
"NIFTY CHEMICALS","23 Apr 2013","-","-","-","2506.29"
"NIFTY CHEMICALS","22 Apr 2013","-","-","-","2502.96"
"NIFTY CHEMICALS","18 Apr 2013","-","-","-","2492.74"
"NIFTY CHEMICALS","17 Apr 2013","-","-","-","2473.00"
"NIFTY CHEMICALS","16 Apr 2013","-","-","-","2462.50"
"NIFTY CHEMICALS","15 Apr 2013","-","-","-","2451.31"
"NIFTY CHEMICALS","12 Apr 2013","-","-","-","2444.05"
"NIFTY CHEMICALS","11 Apr 2013","-","-","-","2449.52"
"NIFTY CHEMICALS","10 Apr 2013","-","-","-","2455.63"
"NIFTY CHEMICALS","09 Apr 2013","-","-","-","2452.33"
"NIFTY CHEMICALS","08 Apr 2013","-","-","-","2452.01"
"NIFTY CHEMICALS","05 Apr 2013","-","-","-","2458.87"
"NIFTY CHEMICALS","04 Apr 2013","-","-","-","2482.85"
"NIFTY CHEMICALS","03 Apr 2013","-","-","-","2539.66"
"NIFTY CHEMICALS","02 Apr 2013","-","-","-","2553.73"
"NIFTY CHEMICALS","01 Apr 2013","-","-","-","2522.12"
"NIFTY CHEMICALS","28 Mar 2013","-","-","-","2524.00"
"NIFTY CHEMICALS","26 Mar 2013","-","-","-","2482.05"
"NIFTY CHEMICALS","25 Mar 2013","-","-","-","2478.34"
"NIFTY CHEMICALS","22 Mar 2013","-","-","-","2493.76"
"NIFTY CHEMICALS","21 Mar 2013","-","-","-","2475.26"
"NIFTY CHEMICALS","20 Mar 2013","-","-","-","2498.80"
"NIFTY CHEMICALS","19 Mar 2013","-","-","-","2512.15"
"NIFTY CHEMICALS","18 Mar 2013","-","-","-","2488.61"
"NIFTY CHEMICALS","15 Mar 2013","-","-","-","2464.89"
"NIFTY CHEMICALS","14 Mar 2013","-","-","-","2474.19"
"NIFTY CHEMICALS","13 Mar 2013","-","-","-","2489.39"
"NIFTY CHEMICALS","12 Mar 2013","-","-","-","2494.08"
"NIFTY CHEMICALS","11 Mar 2013","-","-","-","2506.30"
"NIFTY CHEMICALS","08 Mar 2013","-","-","-","2510.38"
"NIFTY CHEMICALS","07 Mar 2013","-","-","-","2501.83"
"NIFTY CHEMICALS","06 Mar 2013","-","-","-","2485.69"
"NIFTY CHEMICALS","05 Mar 2013","-","-","-","2457.19"
"NIFTY CHEMICALS","04 Mar 2013","-","-","-","2430.60"
"NIFTY CHEMICALS","01 Mar 2013","-","-","-","2459.18"
"NIFTY CHEMICALS","28 Feb 2013","-","-","-","2437.34"
"NIFTY CHEMICALS","27 Feb 2013","-","-","-","2488.86"
"NIFTY CHEMICALS","26 Feb 2013","-","-","-","2472.61"
"NIFTY CHEMICALS","25 Feb 2013","-","-","-","2505.32"
"NIFTY CHEMICALS","22 Feb 2013","-","-","-","2515.90"
"NIFTY CHEMICALS","21 Feb 2013","-","-","-","2516.15"
"NIFTY CHEMICALS","20 Feb 2013","-","-","-","2569.23"
"NIFTY CHEMICALS","19 Feb 2013","-","-","-","2553.73"
"NIFTY CHEMICALS","18 Feb 2013","-","-","-","2536.62"
"NIFTY CHEMICALS","15 Feb 2013","-","-","-","2544.73"
"NIFTY CHEMICALS","14 Feb 2013","-","-","-","2542.05"
"NIFTY CHEMICALS","13 Feb 2013","-","-","-","2542.99"
"NIFTY CHEMICALS","12 Feb 2013","-","-","-","2533.85"
"NIFTY CHEMICALS","11 Feb 2013","-","-","-","2524.36"
"NIFTY CHEMICALS","08 Feb 2013","-","-","-","2544.17"
"NIFTY CHEMICALS","07 Feb 2013","-","-","-","2579.68"
"NIFTY CHEMICALS","06 Feb 2013","-","-","-","2555.04"
"NIFTY CHEMICALS","05 Feb 2013","-","-","-","2599.51"
"NIFTY CHEMICALS","04 Feb 2013","-","-","-","2609.12"
"NIFTY CHEMICALS","01 Feb 2013","-","-","-","2627.21"
"NIFTY CHEMICALS","31 Jan 2013","-","-","-","2588.06"
"NIFTY CHEMICALS","30 Jan 2013","-","-","-","2571.66"
"NIFTY CHEMICALS","29 Jan 2013","-","-","-","2546.62"
"NIFTY CHEMICALS","28 Jan 2013","-","-","-","2559.07"
"NIFTY CHEMICALS","25 Jan 2013","-","-","-","2558.13"
"NIFTY CHEMICALS","24 Jan 2013","-","-","-","2525.99"
"NIFTY CHEMICALS","23 Jan 2013","-","-","-","2587.53"
"NIFTY CHEMICALS","22 Jan 2013","-","-","-","2611.32"
"NIFTY CHEMICALS","21 Jan 2013","-","-","-","2614.52"
"NIFTY CHEMICALS","18 Jan 2013","-","-","-","2604.94"
"NIFTY CHEMICALS","17 Jan 2013","-","-","-","2630.51"
"NIFTY CHEMICALS","16 Jan 2013","-","-","-","2623.39"
"NIFTY CHEMICALS","15 Jan 2013","-","-","-","2636.59"
"NIFTY CHEMICALS","14 Jan 2013","-","-","-","2632.47"
"NIFTY CHEMICALS","11 Jan 2013","-","-","-","2647.38"
"NIFTY CHEMICALS","10 Jan 2013","-","-","-","2684.70"
"NIFTY CHEMICALS","09 Jan 2013","-","-","-","2692.38"
"NIFTY CHEMICALS","08 Jan 2013","-","-","-","2700.52"
"NIFTY CHEMICALS","07 Jan 2013","-","-","-","2704.18"
"NIFTY CHEMICALS","04 Jan 2013","-","-","-","2686.04"
